id,sentence_id,english,japanese,created_at,updated_at
1,1,respect...,...(気持・意見など)を尊重する,2021-11-9,2021-11-9
2,1,will,意志,2021-11-9,2021-11-9
3,1,individual,個人,2021-11-9,2021-11-9
4,2,Take it easy.,気楽にやれ,2021-11-9,2021-11-9
5,2,assure A (that),A(人)に〜を確約する,2021-11-9,2021-11-9
6,2,turn out (to be)...,(最終的に)...という結果になる,2021-11-9,2021-11-9
7,3,let go of... / let ... go,"...を離す, ...を捨てる",2021-11-9,2021-11-9
8,3,negative,悲観的な,2021-11-9,2021-11-9
9,3,outlook,"[-(on...)] (...に対する)見方[態度], ...観",2021-11-9,2021-11-9
10,3,maintain...,...(関係など)を維持する,2021-11-9,2021-11-9
11,3,positive,"積極的な, 前向きな",2021-11-9,2021-11-9
12,3,attitude (to / toward),(...に対する)態度,2021-11-9,2021-11-9
13,4,fair,公平な,2021-11-9,2021-11-9
14,4,regardless of ...,...にかかわらず,2021-11-9,2021-11-9
15,4,national,"国の..., 国内の...",2021-11-9,2021-11-9
16,4,origin,"起源, 生まれ",2021-11-9,2021-11-9
17,4,gender,性別,2021-11-9,2021-11-9
18,4,creed,(宗教上の)信条,2021-11-9,2021-11-9
19,5,equality,平等,2021-11-9,2021-11-9
20,5,guarantee...,"...を保証する, ...を約束する",2021-11-9,2021-11-9
21,5,constitution,(the -[C-]) 憲法,2021-11-9,2021-11-9
22,6,lean(...),[- against [on]...] ...に寄り掛かる,2021-11-9,2021-11-9
23,6,pillar,"柱, 支柱",2021-11-9,2021-11-9
24,6,gaze (at...),(意識を奪われて) (...を) じっと見つめる,2021-11-9,2021-11-9
25,6,statue,彫像,2021-11-9,2021-11-9
26,6,liberty,自由,2021-11-9,2021-11-9
27,7,pass by (...),(...の)をそばを通り過ぎる,2021-11-9,2021-11-9
28,7,give off...,...(臭い・光・熱)を発する,2021-11-9,2021-11-9
29,7,subtle,かすかな,2021-11-9,2021-11-9
30,7,scent,(いい)香り,2021-11-9,2021-11-9
31,7,perfume,香水,2021-11-9,2021-11-9
32,7,remind...,remind A of B: AにBを思い出させる,2021-11-9,2021-11-9
33,7,ex-...,前の...,2021-11-9,2021-11-9
34,8,smell(...),(ものが)(...な)においがする,2021-11-9,2021-11-9
35,8,awful,ひどい,2021-11-9,2021-11-9
36,8,taste...,(飲食物が)...な味がする,2021-11-9,2021-11-9
37,8,terrific,すばらしい,2021-11-9,2021-11-9
38,9,soaked,(雨などで)びしょ濡れの,2021-11-9,2021-11-9
39,9,sweat,汗,2021-11-9,2021-11-9
40,9,stand back,(邪魔・迷惑だから)後ろに下がる,2021-11-9,2021-11-9
41,9,stink,"悪臭がする, (ひどく)臭い",2021-11-9,2021-11-9
42,9,take a shower,シャワーを浴びる,2021-11-9,2021-11-9
43,10,be beside oneself (with...),"[...(怒り・悲しみなどで)ひどく興奮する, 取り乱す",2021-11-9,2021-11-9
44,10,scarcely,ほとんど(...し)ない,2021-11-9,2021-11-9
45,10,tell A from B,[通例 can- ] AをBと区別する,2021-11-9,2021-11-9
46,10,fact,現実,2021-11-9,2021-11-9
